Diagnosis,Diagnosis_categories,Finished Admission Episodes,Emergency,Waiting list,Planned,Other,Mean_time_waited,Mean_length_of_stay,Young Children,Older Children and Adolescents,Young Adults,Middle-Aged Adults,Older Adults,Elderly 90+,Emergency Admission Ratio (%),Overcrowding_Status
Other mood [affective] disorders,"Mental, Behavioral and Neurodevelopmental disorders",113,36,74.0,3.0,0.0,187.0,3.0,0,5.0,60.0,57.0,9,1,31.858407079646017,0
Unspecified mood [affective] disorder,"Mental, Behavioral and Neurodevelopmental disorders",63,55,3.0,3.0,2.0,0.0,23.0,0,10.0,25.0,40.0,24,2,87.3015873015873,1
Phobic anxiety disorders,"Mental, Behavioral and Neurodevelopmental disorders",62,29,22.0,9.0,2.0,135.0,30.0,1,21.0,21.0,24.0,14,1,46.774193548387096,0
Other anxiety disorders,"Mental, Behavioral and Neurodevelopmental disorders",11551,10924,253.0,221.0,153.0,93.0,5.0,2,692.0,4745.0,4513.0,3206,203,94.5718985369232,1
Obsessive-compulsive disorder,"Mental, Behavioral and Neurodevelopmental disorders",239,159,23.0,43.0,14.0,45.0,52.0,0,69.0,144.0,71.0,19,0,66.52719665271967,0
"Reaction to severe stress, and adjustment disorders","Mental, Behavioral and Neurodevelopmental disorders",2008,1561,82.0,219.0,146.0,68.0,20.0,0,125.0,1095.0,923.0,425,19,77.7390438247012,0
Dissociative [conversion] disorders,"Mental, Behavioral and Neurodevelopmental disorders",4894,3804,576.0,453.0,61.0,66.0,8.0,5,533.0,3642.0,3130.0,814,12,77.72782999591337,0
Somatoform disorders,"Mental, Behavioral and Neurodevelopmental disorders",757,358,373.0,20.0,6.0,37.0,7.0,5,67.0,267.0,421.0,197,10,47.29194187582563,0
Other neurotic disorders,"Mental, Behavioral and Neurodevelopmental disorders",47,42,3.0,1.0,1.0,33.0,4.0,0,9.0,12.0,25.0,17,1,89.36170212765957,1
Eating disorders,"Mental, Behavioral and Neurodevelopmental disorders",4471,3564,470.0,374.0,63.0,33.0,20.0,50,3742.0,2726.0,790.0,139,3,79.71371057928876,0
Nonorganic sleep disorders,"Mental, Behavioral and Neurodevelopmental disorders",241,49,157.0,34.0,1.0,79.0,1.0,15,42.0,111.0,49.0,36,0,20.33195020746888,0
"Sexual dysfunction, not caused by organic disorder or disease","Mental, Behavioral and Neurodevelopmental disorders",328,22,274.0,32.0,0.0,169.0,1.0,0,3.0,65.0,176.0,81,0,6.707317073170732,0
"Mental and behavioural disorders associated with the puerperium, not elsewhere classified","Mental, Behavioral and Neurodevelopmental disorders",272,130,17.0,72.0,53.0,92.0,36.0,1,1.0,324.0,22.0,0,0,47.794117647058826,0
Psychological and behavioural factors associated with disorders or diseases classified elsewhere,"Mental, Behavioral and Neurodevelopmental disorders",15,14,1.0,0.0,0.0,85.0,2.0,2,2.0,3.0,4.0,6,0,93.33333333333333,1
Abuse of non-dependence-producing substances,"Mental, Behavioral and Neurodevelopmental disorders",14,11,2.0,1.0,0.0,44.0,2.0,1,0.0,8.0,6.0,6,0,78.57142857142857,0
Unspecified behavioural syndromes associated with physiological disturbances and physical factors,"Mental, Behavioral and Neurodevelopmental disorders",5,5,0.0,0.0,0.0,0.0,32.0,0,11.0,1.0,1.0,0,0,100.0,1
Specific personality disorders,"Mental, Behavioral and Neurodevelopmental disorders",3702,2779,216.0,374.0,333.0,84.0,53.0,0,63.0,3464.0,1219.0,172,1,75.06753106428957,0
Mixed and other personality disorders,"Mental, Behavioral and Neurodevelopmental disorders",117,86,8.0,19.0,4.0,1.0,139.0,0,0.0,69.0,79.0,8,0,73.50427350427351,0
"Enduring personality changes, not attributable to brain damage and disease","Mental, Behavioral and Neurodevelopmental disorders",19,16,2.0,1.0,0.0,288.0,7.0,0,6.0,5.0,6.0,10,0,84.21052631578947,0
Habit and impulse disorders,"Mental, Behavioral and Neurodevelopmental disorders",4,3,0.0,1.0,0.0,0.0,21.0,1,3.0,1.0,2.0,2,0,75.0,0
Gender identity disorders,"Mental, Behavioral and Neurodevelopmental disorders",1966,11,1862.0,90.0,3.0,119.0,3.0,0,0.0,3.0,0.0,0,0,0.5595116988809765,0
Disorders of sexual preference,"Mental, Behavioral and Neurodevelopmental disorders",2,1,1.0,0.0,0.0,0.0,10.0,0,1.0,1.0,0.0,0,0,50.0,0
Psychological and behavioural disorders associated with sexual development and orientation,"Mental, Behavioral and Neurodevelopmental disorders",35,0,35.0,0.0,0.0,95.0,2.0,0,0.0,0.0,0.0,0,0,0.0,0
Other disorders of adult personality and behaviour,"Mental, Behavioral and Neurodevelopmental disorders",11,9,0.0,0.0,2.0,0.0,27.0,0,1.0,4.0,14.0,3,0,81.81818181818183,0
Unspecified disorder of adult personality and behaviour,"Mental, Behavioral and Neurodevelopmental disorders",16,15,1.0,0.0,0.0,0.0,34.0,0,5.0,11.0,15.0,9,2,93.75,1
Mild disorder of intellectual development,"Mental, Behavioral and Neurodevelopmental disorders",99,43,22.0,21.0,13.0,163.0,391.0,0,2.0,88.0,41.0,9,0,43.43434343434344,0
Moderate disorder of intellectual development,"Mental, Behavioral and Neurodevelopmental disorders",42,19,8.0,8.0,7.0,203.0,1264.0,0,3.0,38.0,13.0,7,0,45.23809523809524,0
Severe disorder of intellectual development,"Mental, Behavioral and Neurodevelopmental disorders",33,13,9.0,7.0,4.0,29.0,5405.0,0,11.0,27.0,22.0,13,0,39.39393939393939,0
Profound disorder of intellectual development,"Mental, Behavioral and Neurodevelopmental disorders",1,1,0.0,0.0,0.0,0.0,272.0,0,0.0,1.0,0.0,0,0,100.0,1
Unspecified disorder of intellectual development,"Mental, Behavioral and Neurodevelopmental disorders",72,31,28.0,11.0,2.0,62.0,50.0,4,44.0,31.0,57.0,9,0,43.05555555555556,0
Specific developmental disorders of speech and language,"Mental, Behavioral and Neurodevelopmental disorders",414,97,234.0,79.0,4.0,88.0,4.0,262,72.0,10.0,44.0,77,14,23.42995169082126,0
Specific developmental disorders of scholastic skills,"Mental, Behavioral and Neurodevelopmental disorders",179,44,71.0,58.0,6.0,67.0,21.0,36,85.0,37.0,44.0,23,0,24.581005586592177,0
Specific developmental disorder of motor function,"Mental, Behavioral and Neurodevelopmental disorders",120,18,73.0,29.0,0.0,54.0,1.0,88,31.0,1.0,0.0,1,0,15.0,0
Mixed specific developmental disorders,"Mental, Behavioral and Neurodevelopmental disorders",77,9,48.0,19.0,1.0,91.0,74.0,49,24.0,0.0,1.0,4,0,11.688311688311687,0
Pervasive developmental disorders,"Mental, Behavioral and Neurodevelopmental disorders",1002,405,365.0,178.0,54.0,76.0,133.0,164,610.0,358.0,96.0,14,0,40.41916167664671,0
Other disorders of psychological development,"Mental, Behavioral and Neurodevelopmental disorders",23,5,13.0,5.0,0.0,63.0,1.0,17,6.0,0.0,0.0,0,0,21.73913043478261,0
Unspecified disorder of psychological development,"Mental, Behavioral and Neurodevelopmental disorders",806,83,475.0,243.0,5.0,65.0,1.0,621,186.0,7.0,2.0,0,0,10.297766749379653,0
Hyperkinetic disorders,"Mental, Behavioral and Neurodevelopmental disorders",290,176,54.0,36.0,24.0,58.0,32.0,4,144.0,189.0,24.0,3,7,60.689655172413794,0
Conduct disorders,"Mental, Behavioral and Neurodevelopmental disorders",101,90,7.0,3.0,1.0,50.0,15.0,11,59.0,28.0,18.0,14,13,89.10891089108911,1
Mixed disorders of conduct and emotions,"Mental, Behavioral and Neurodevelopmental disorders",23,19,1.0,2.0,1.0,6.0,68.0,1,21.0,12.0,5.0,6,2,82.6086956521739,0
Emotional disorders with onset specific to childhood,"Mental, Behavioral and Neurodevelopmental disorders",32,26,1.0,3.0,2.0,0.0,93.0,0,33.0,3.0,0.0,0,0,81.25,0
Disorders of social functioning with onset specific to childhood and adolescence,"Mental, Behavioral and Neurodevelopmental disorders",20,10,5.0,3.0,2.0,14.0,129.0,0,18.0,12.0,0.0,0,0,50.0,0
Tic disorders,"Mental, Behavioral and Neurodevelopmental disorders",363,284,50.0,29.0,0.0,65.0,5.0,21,268.0,72.0,27.0,4,0,78.23691460055096,0
Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence,"Mental, Behavioral and Neurodevelopmental disorders",328,171,106.0,47.0,4.0,98.0,9.0,101,181.0,23.0,19.0,28,1,52.13414634146341,0
"Mental disorder, not otherwise specified","Mental, Behavioral and Neurodevelopmental disorders",273,249,2.0,14.0,8.0,0.0,8.0,0,63.0,149.0,108.0,66,2,91.20879120879121,1
"Bacterial meningitis, not elsewhere classified",Diseases of the nervous system,1234,951,131.0,103.0,49.0,23.0,13.0,461,129.0,484.0,714.0,534,8,77.06645056726093,0
Meningitis in bacterial diseases classified elsewhere,Diseases of the nervous system,11,9,0.0,2.0,0.0,0.0,10.0,0,11.0,6.0,4.0,3,0,81.81818181818183,0
Meningitis in other infectious and parasitic diseases classified elsewhere,Diseases of the nervous system,52,48,0.0,3.0,1.0,0.0,6.0,20,3.0,34.0,20.0,1,0,92.3076923076923,1
Meningitis due to other and unspecified causes,Diseases of the nervous system,1302,1115,81.0,87.0,19.0,27.0,8.0,307,208.0,712.0,596.0,279,10,85.63748079877112,1
"Encephalitis, myelitis and encephalomyelitis",Diseases of the nervous system,2714,1978,367.0,257.0,112.0,29.0,21.0,283,551.0,965.0,1807.0,2171,65,72.88135593220339,0
"Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere",Diseases of the nervous system,53,40,3.0,5.0,5.0,3.0,28.0,5,9.0,31.0,36.0,69,4,75.47169811320755,0
Intracranial and intraspinal abscess and granuloma,Diseases of the nervous system,1687,976,190.0,334.0,187.0,12.0,30.0,78,266.0,299.0,1322.0,1099,24,57.85417901600475,0
Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere,Diseases of the nervous system,8,5,0.0,3.0,0.0,0.0,5.0,0,0.0,9.0,5.0,0,0,62.5,0
Intracranial and intraspinal phlebitis and thrombophlebitis,Diseases of the nervous system,874,667,80.0,93.0,34.0,18.0,8.0,114,118.0,472.0,465.0,243,9,76.31578947368422,0
Huntington disease,Diseases of the nervous system,191,128,43.0,17.0,3.0,51.0,46.0,0,2.0,41.0,274.0,173,0,67.01570680628272,0
Hereditary ataxia,Diseases of the nervous system,757,206,294.0,249.0,8.0,83.0,11.0,41,120.0,174.0,300.0,335,3,27.212681638044916,0
Spinal muscular atrophy and related syndromes,Diseases of the nervous system,4778,803,1997.0,1915.0,63.0,54.0,13.0,264,624.0,449.0,1800.0,3272,48,16.80619506069485,0
Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere,Diseases of the nervous system,55,21,8.0,23.0,3.0,24.0,30.0,0,0.0,0.0,47.0,67,0,38.18181818181819,0
Postpolio syndrome,Diseases of the nervous system,31,2,18.0,11.0,0.0,51.0,6.0,0,0.0,2.0,5.0,27,0,6.451612903225806,0
Parkinson disease,Diseases of the nervous system,5763,3463,1703.0,472.0,125.0,81.0,17.0,2,3.0,50.0,1925.0,9512,386,60.090230782578516,0
Secondary parkinsonism,Diseases of the nervous system,308,266,21.0,7.0,14.0,58.0,22.0,0,4.0,117.0,187.0,542,31,86.36363636363636,1
Other degenerative diseases of basal ganglia,Diseases of the nervous system,490,296,145.0,39.0,10.0,56.0,19.0,6,34.0,35.0,203.0,816,5,60.40816326530612,0
Dystonia,Diseases of the nervous system,3776,612,1508.0,1629.0,27.0,126.0,9.0,197,673.0,466.0,1221.0,1492,56,16.20762711864407,0
Other extrapyramidal and movement disorders,Diseases of the nervous system,3295,1135,1321.0,821.0,18.0,73.0,5.0,415,184.0,447.0,1330.0,1618,102,34.44613050075873,0
Extrapyramidal and movement disorders in diseases classified elsewhere,Diseases of the nervous system,1,1,0.0,0.0,0.0,0.0,24.0,1,0.0,0.0,0.0,4,0,100.0,1
Alzheimer disease,Diseases of the nervous system,4285,3762,167.0,185.0,171.0,41.0,30.0,0,1.0,1.0,447.0,8763,1613,87.7946324387398,1
"Other degenerative diseases of nervous system, not elsewhere classified",Diseases of the nervous system,1398,979,237.0,125.0,57.0,59.0,30.0,61,94.0,157.0,724.0,2125,146,70.02861230329042,0
Other degenerative disorders of nervous system in diseases classified elsewhere,Diseases of the nervous system,119,72,24.0,19.0,4.0,12.0,17.0,1,6.0,158.0,40.0,17,0,60.50420168067227,0
Multiple sclerosis,Diseases of the nervous system,64036,2259,19835.0,41872.0,70.0,59.0,10.0,0,418.0,27007.0,36108.0,2932,5,3.52770316696858,0
Other acute disseminated demyelination,Diseases of the nervous system,827,181,210.0,418.0,18.0,44.0,14.0,3,113.0,377.0,443.0,95,0,21.886336154776302,0
Other demyelinating diseases of central nervous system,Diseases of the nervous system,1526,541,518.0,429.0,38.0,42.0,19.0,32,227.0,817.0,907.0,294,5,35.4521625163827,0
Epilepsy,Diseases of the nervous system,38942,30870,5642.0,2236.0,194.0,85.0,4.0,4261,9426.0,13640.0,16015.0,11826,883,79.27173745570335,0
Status epilepticus,Diseases of the nervous system,4094,3884,57.0,43.0,110.0,53.0,8.0,998,1132.0,1321.0,1815.0,1559,115,94.87054225696141,1
Migraine,Diseases of the nervous system,36240,25137,5355.0,5601.0,147.0,117.0,1.0,35,2297.0,17579.0,18824.0,5006,134,69.36258278145695,0
Other headache syndromes,Diseases of the nervous system,8066,6149,1061.0,836.0,20.0,107.0,1.0,5,381.0,3190.0,4042.0,1683,60,76.23357302256385,0
Transient cerebral ischaemic attacks and related syndromes,Diseases of the nervous system,17273,16481,528.0,184.0,80.0,20.0,2.0,6,25.0,409.0,5158.0,16547,2656,95.41480923985411,1
Vascular syndromes of brain in cerebrovascular diseases,Diseases of the nervous system,77,67,1.0,1.0,8.0,0.0,11.0,0,3.0,3.0,25.0,80,12,87.01298701298701,1
Sleep disorders,Diseases of the nervous system,26476,1363,20986.0,4020.0,107.0,116.0,2.0,5109,7189.0,4125.0,7809.0,3141,27,5.148058619126757,0
Disorders of trigeminal nerve,Diseases of the nervous system,2986,1245,1437.0,296.0,8.0,120.0,3.0,1,18.0,477.0,1532.0,1441,68,41.69457468184863,0
Facial nerve disorders,Diseases of the nervous system,5414,3335,1401.0,655.0,23.0,148.0,2.0,147,467.0,1012.0,2414.0,2114,125,61.59955670483931,0
Disorders of other cranial nerves,Diseases of the nervous system,209,108,77.0,23.0,1.0,108.0,7.0,5,6.0,25.0,122.0,105,7,51.674641148325364,0
Cranial nerve disorders in diseases classified elsewhere,Diseases of the nervous system,284,47,139.0,95.0,3.0,118.0,5.0,0,3.0,9.0,90.0,199,17,16.549295774647888,0
Nerve root and plexus disorders,Diseases of the nervous system,1583,299,1078.0,187.0,19.0,121.0,5.0,7,40.0,430.0,793.0,483,10,18.88818698673405,0
Nerve root and plexus compressions in diseases classified elsewhere,Diseases of the nervous system,10268,1419,8115.0,673.0,61.0,140.0,5.0,0,13.0,1839.0,5506.0,3913,69,13.819633813790416,0
Mononeuropathies of upper limb,Diseases of the nervous system,47124,555,45829.0,736.0,4.0,112.0,2.0,5,119.0,4845.0,21952.0,20177,691,1.1777438248026482,0
Mononeuropathies of lower limb,Diseases of the nervous system,4234,199,3817.0,215.0,3.0,142.0,3.0,0,149.0,600.0,2551.0,1005,9,4.700047236655645,0
Other mononeuropathies,Diseases of the nervous system,1780,365,1119.0,289.0,7.0,211.0,6.0,5,18.0,281.0,1019.0,613,14,20.50561797752809,0
Mononeuropathy in diseases classified elsewhere,Diseases of the nervous system,9,6,3.0,0.0,0.0,39.0,6.0,0,0.0,0.0,4.0,10,2,66.66666666666666,0
Hereditary and idiopathic neuropathy,Diseases of the nervous system,654,133,285.0,234.0,2.0,111.0,12.0,4,21.0,112.0,312.0,369,2,20.33639143730887,0
Inflammatory polyneuropathy,Diseases of the nervous system,22715,1128,6770.0,14633.0,184.0,118.0,26.0,73,262.0,2284.0,10904.0,11279,157,4.965881576051068,0
Other polyneuropathies,Diseases of the nervous system,11694,1824,3573.0,6256.0,41.0,130.0,9.0,9,86.0,1461.0,6301.0,5223,119,15.597742432016418,0
Polyneuropathy in diseases classified elsewhere,Diseases of the nervous system,677,158,301.0,213.0,5.0,89.0,13.0,0,2.0,174.0,406.0,307,3,23.338257016248154,0
Other disorders of peripheral nervous system,Diseases of the nervous system,13,7,4.0,2.0,0.0,69.0,1.0,1,2.0,3.0,4.0,3,0,53.84615384615385,0
Myasthenia gravis and other myoneural disorders,Diseases of the nervous system,4781,1066,1376.0,2296.0,43.0,35.0,12.0,33,134.0,1071.0,2193.0,2903,51,22.296590671407653,0
Primary disorders of muscles,Diseases of the nervous system,2871,193,1487.0,1175.0,16.0,85.0,9.0,102,1448.0,753.0,677.0,192,2,6.722396377568791,0
Other myopathies,Diseases of the nervous system,1406,279,521.0,594.0,12.0,53.0,14.0,16,57.0,177.0,869.0,643,9,19.84352773826458,0
Disorders of myoneural junction and muscle in diseases classified elsewhere,Diseases of the nervous system,25,13,2.0,10.0,0.0,20.0,20.0,0,0.0,10.0,15.0,14,0,52.0,0
Cerebral palsy,Diseases of the nervous system,5633,220,3511.0,1891.0,11.0,117.0,6.0,461,3158.0,1821.0,319.0,58,0,3.905556541807208,0
Hemiplegia,Diseases of the nervous system,2708,1771,555.0,202.0,180.0,98.0,14.0,104,172.0,350.0,1288.0,1746,162,65.39881831610043,0
Paraplegia and tetraplegia,Diseases of the nervous system,1761,222,750.0,642.0,147.0,132.0,49.0,31,190.0,466.0,896.0,605,3,12.60647359454855,0
Other paralytic syndromes,Diseases of the nervous system,2571,2120,233.0,108.0,110.0,129.0,7.0,22,34.0,722.0,1302.0,1521,105,82.4581874756904,0
Disorders of autonomic nervous system,Diseases of the nervous system,978,418,442.0,114.0,4.0,164.0,8.0,17,78.0,492.0,437.0,294,11,42.740286298568506,0
Hydrocephalus,Diseases of the nervous system,3768,1446,1842.0,347.0,133.0,80.0,9.0,366,261.0,414.0,1172.0,2954,27,38.375796178343954,0
Toxic encephalopathy,Diseases of the nervous system,61,38,9.0,4.0,10.0,3.0,33.0,1,5.0,51.0,64.0,28,0,62.295081967213115,0
Other disorders of brain,Diseases of the nervous system,12004,7422,2862.0,1482.0,238.0,49.0,10.0,715,1522.0,6368.0,5204.0,3549,150,61.829390203265575,0
Other disorders of brain in diseases classified elsewhere,Diseases of the nervous system,206,140,39.0,12.0,15.0,20.0,15.0,33,66.0,51.0,126.0,65,2,67.96116504854369,0
Other diseases of spinal cord,Diseases of the nervous system,3337,1135,1291.0,805.0,106.0,135.0,15.0,80,156.0,677.0,1847.0,1916,67,34.01258615522924,0
Other disorders of central nervous system,Diseases of the nervous system,1219,590,499.0,105.0,25.0,95.0,8.0,56,75.0,369.0,799.0,335,5,48.40032813781788,0
"Postprocedural disorders of nervous system, not elsewhere classified",Diseases of the nervous system,1314,1048,163.0,71.0,32.0,57.0,5.0,45,134.0,927.0,616.0,147,2,79.75646879756468,0
"Other disorders of nervous system, not elsewhere classified",Diseases of the nervous system,505,364,118.0,17.0,6.0,91.0,8.0,5,15.0,217.0,436.0,175,6,72.07920792079207,0
Other disorders of nervous system in diseases classified elsewhere,Diseases of the nervous system,2397,1191,958.0,167.0,81.0,114.0,11.0,2,17.0,158.0,1305.0,2105,28,49.68710888610764,0
Hordeolum and chalazion,Diseases of the eye and adnexa,4913,958,3713.0,234.0,8.0,69.0,2.0,440,857.0,1602.0,1495.0,590,27,19.499287604315082,0
Other inflammation of eyelid,Diseases of the eye and adnexa,1006,269,579.0,157.0,1.0,78.0,1.0,76,78.0,98.0,292.0,469,34,26.73956262425447,0
Other disorders of eyelid,Diseases of the eye and adnexa,30435,698,28411.0,1317.0,9.0,115.0,2.0,237,505.0,1351.0,6917.0,20046,1445,2.2934121899129294,0
Disorders of eyelid in diseases classified elsewhere,Diseases of the eye and adnexa,25,10,15.0,0.0,0.0,165.0,3.0,4,6.0,2.0,8.0,6,1,40.0,0
Disorders of lacrimal system,Diseases of the eye and adnexa,7688,363,7031.0,288.0,6.0,139.0,1.0,820,339.0,583.0,2499.0,3398,106,4.721644120707596,0
Disorders of orbit,Diseases of the eye and adnexa,5599,4367,936.0,239.0,57.0,86.0,3.0,1666,1553.0,831.0,1322.0,1127,122,77.99607072691552,0
Disorders of lacrimal system and orbit in diseases classified elsewhere,Diseases of the eye and adnexa,1271,104,842.0,324.0,1.0,86.0,1.0,0,1.0,199.0,741.0,329,0,8.18253343823761,0
Conjunctivitis,Diseases of the eye and adnexa,1685,1332,296.0,39.0,18.0,61.0,1.0,816,253.0,178.0,244.0,287,51,79.05044510385757,0
Other disorders of conjunctiva,Diseases of the eye and adnexa,4471,524,3876.0,67.0,4.0,104.0,1.0,84,93.0,551.0,2088.0,1648,54,11.71997316036681,0
Disorders of conjunctiva in diseases classified elsewhere,Diseases of the eye and adnexa,79,19,50.0,10.0,0.0,69.0,5.0,1,6.0,7.0,18.0,49,1,24.050632911392405,0
Disorders of sclera,Diseases of the eye and adnexa,269,119,105.0,45.0,0.0,48.0,3.0,3,14.0,48.0,146.0,78,3,44.237918215613384,0
Keratitis,Diseases of the eye and adnexa,2397,1048,1243.0,98.0,8.0,60.0,7.0,34,127.0,421.0,856.0,1071,166,43.721318314559866,0
Corneal scars and opacities,Diseases of the eye and adnexa,442,9,356.0,77.0,0.0,204.0,2.0,11,19.0,65.0,154.0,187,4,2.0361990950226243,0
Other disorders of cornea,Diseases of the eye and adnexa,10534,190,9466.0,877.0,1.0,142.0,1.0,18,579.0,4132.0,2084.0,3547,178,1.8036833111828365,0
Disorders of sclera and cornea in diseases classified elsewhere,Diseases of the eye and adnexa,186,55,121.0,10.0,0.0,81.0,7.0,2,3.0,27.0,89.0,62,7,29.56989247311828,0
Iridocyclitis,Diseases of the eye and adnexa,1856,311,982.0,561.0,2.0,59.0,2.0,21,615.0,464.0,437.0,351,11,16.756465517241377,0
Other disorders of iris and ciliary body,Diseases of the eye and adnexa,869,83,708.0,75.0,3.0,54.0,1.0,18,23.0,70.0,293.0,444,23,9.551208285385501,0
Disorders of iris and ciliary body in diseases classified elsewhere,Diseases of the eye and adnexa,87,15,53.0,19.0,0.0,58.0,4.0,0,2.0,14.0,44.0,20,1,17.24137931034483,0
Senile cataract,Diseases of the eye and adnexa,338411,118,333601.0,4675.0,17.0,60.0,1.0,1,9.0,599.0,37615.0,288064,11839,0.03486884291586267,0
Other cataract,Diseases of the eye and adnexa,374072,288,249603.0,124173.0,8.0,80.0,1.0,84,317.0,1904.0,52195.0,307182,12385,0.07699052588806432,0
Other disorders of lens,Diseases of the eye and adnexa,1811,37,1735.0,39.0,0.0,86.0,2.0,24,49.0,88.0,364.0,1211,73,2.043070127001657,0
Cataract and other disorders of lens in diseases classified elsewhere,Diseases of the eye and adnexa,33462,2,33451.0,9.0,0.0,26.0,1.0,0,6.0,87.0,5882.0,26901,611,0.005976929053852131,0
Chorioretinal inflammation,Diseases of the eye and adnexa,230,46,131.0,51.0,2.0,56.0,5.0,3,19.0,53.0,97.0,70,1,20.0,0
Other disorders of choroid,Diseases of the eye and adnexa,1844,55,547.0,1241.0,1.0,36.0,2.0,5,45.0,98.0,424.0,1134,148,2.9826464208242953,0
Chorioretinal disorders in diseases classified elsewhere,Diseases of the eye and adnexa,18,8,6.0,4.0,0.0,6.0,7.0,0,2.0,0.0,8.0,6,0,44.44444444444444,0
Retinal detachments and breaks,Diseases of the eye and adnexa,21466,6108,14957.0,366.0,35.0,29.0,0.0,49,335.0,1839.0,11009.0,8123,123,28.45429982297587,0
Retinal vascular occlusions,Diseases of the eye and adnexa,14121,469,5216.0,8434.0,2.0,45.0,3.0,1,11.0,115.0,2682.0,10715,744,3.321294525883436,0
Other retinal disorders,Diseases of the eye and adnexa,88539,549,39403.0,48496.0,91.0,89.0,2.0,422,357.0,1009.0,10961.0,66968,8851,0.6200657337444516,0
Retinal disorders in diseases classified elsewhere,Diseases of the eye and adnexa,23215,72,11017.0,12126.0,0.0,49.0,11.0,0,29.0,1822.0,11391.0,9741,177,0.31014430325220765,0
Glaucoma,Diseases of the eye and adnexa,26835,871,25399.0,549.0,16.0,72.0,2.0,71,197.0,849.0,7073.0,17966,791,3.2457611328488913,0
Glaucoma in diseases classified elsewhere,Diseases of the eye and adnexa,14,1,13.0,0.0,0.0,64.0,1.0,0,3.0,4.0,2.0,4,0,7.142857142857142,0
Disorders of vitreous body,Diseases of the eye and adnexa,5717,837,4627.0,249.0,4.0,61.0,1.0,6,25.0,502.0,2458.0,2676,115,14.640545740773133,0
Disorders of globe,Diseases of the eye and adnexa,1884,509,1217.0,152.0,6.0,49.0,5.0,60,60.0,189.0,495.0,1150,91,27.016985138004245,0
Disorders of vitreous body and globe in diseases classified elsewhere,Diseases of the eye and adnexa,393,14,377.0,2.0,0.0,59.0,2.0,0,0.0,64.0,241.0,87,0,3.5623409669211195,0
Optic neuritis,Diseases of the eye and adnexa,1236,711,332.0,183.0,10.0,94.0,4.0,5,198.0,688.0,511.0,128,4,57.52427184466019,0
Other disorders of optic [2nd] nerve and visual pathways,Diseases of the eye and adnexa,2990,2070,646.0,254.0,20.0,44.0,2.0,148,795.0,1388.0,697.0,384,10,69.23076923076923,0
Disorders of optic [2nd] nerve and visual pathways in diseases classified elsewhere,Diseases of the eye and adnexa,18,6,2.0,10.0,0.0,41.0,6.0,0,3.0,7.0,12.0,2,0,33.33333333333333,0
Paralytic strabismus,Diseases of the eye and adnexa,1682,1054,567.0,57.0,4.0,161.0,3.0,53,146.0,253.0,808.0,1035,35,62.66349583828775,0
Other strabismus,Diseases of the eye and adnexa,11367,222,10743.0,393.0,9.0,193.0,1.0,1232,5451.0,2033.0,1850.0,836,2,1.9530219055159674,0
Other disorders of binocular movement,Diseases of the eye and adnexa,245,109,119.0,15.0,2.0,167.0,3.0,38,64.0,48.0,71.0,70,2,44.48979591836735,0
Disorders of refraction and accommodation,Diseases of the eye and adnexa,712,28,629.0,53.0,2.0,111.0,0.0,56,99.0,106.0,270.0,177,1,3.932584269662921,0
Visual disturbances,Diseases of the eye and adnexa,7538,6355,782.0,299.0,102.0,78.0,1.0,77,553.0,1726.0,2931.0,3507,241,84.30618201114353,0
Visual impairment including blindness (binocular or monocular),Diseases of the eye and adnexa,481,280,166.0,30.0,5.0,68.0,3.0,30,51.0,77.0,145.0,237,31,58.21205821205822,0
Nystagmus and other irregular eye movements,Diseases of the eye and adnexa,546,267,183.0,93.0,3.0,119.0,2.0,307,105.0,45.0,75.0,69,9,48.9010989010989,0
Other disorders of eye and adnexa,Diseases of the eye and adnexa,3601,1553,736.0,1292.0,20.0,96.0,1.0,225,202.0,530.0,1014.0,1705,100,43.126909191891144,0
Other disorders of eye and adnexa in diseases classified elsewhere,Diseases of the eye and adnexa,180,28,112.0,40.0,0.0,89.0,8.0,0,3.0,11.0,77.0,95,13,15.555555555555555,0
"Postprocedural disorders of eye and adnexa, not elsewhere classified",Diseases of the eye and adnexa,2231,179,1980.0,70.0,2.0,75.0,1.0,7,17.0,126.0,590.0,1421,66,8.023307933662036,0
Otitis externa,Diseases of the ear and mastoid process,9682,8337,841.0,449.0,55.0,114.0,3.0,364,827.0,3167.0,3324.0,2640,343,86.10824209873994,1
Other disorders of external ear,Diseases of the ear and mastoid process,5281,2160,3006.0,105.0,10.0,107.0,1.0,306,797.0,1145.0,1531.0,1588,110,40.901344442340466,0
Disorders of external ear in diseases classified elsewhere,Diseases of the ear and mastoid process,73,54,15.0,4.0,0.0,62.0,1.0,1,7.0,24.0,25.0,19,2,73.97260273972603,0
Nonsuppurative otitis media,Diseases of the ear and mastoid process,10964,757,10010.0,189.0,8.0,134.0,1.0,3402,4890.0,810.0,1198.0,794,14,6.904414447282013,0
Suppurative and unspecified otitis media,Diseases of the ear and mastoid process,10415,7259,2896.0,225.0,35.0,164.0,1.0,4272,2551.0,1725.0,1552.0,878,55,69.69755160825733,0
